iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,111.4760147601476,nan,271,0,759.5525483367977,nan,1.0,-0.013019695588559844,-0.013019695588559844,1.0130196955885598
1,1000000,196.42857142857142,876.425702811245,154,249,702.8875764195716,484.2607522318684,0.8020002475,-0.011199398078651383,-0.011199398078651383,1.0111993980786513
2,2000000,539.6103896103896,918.4169884169884,231,259,693.98845280033,457.38698284494467,0.5545002475,-0.0038459641905996722,-0.0038459641905996722,1.0038459641905997
3,3000000,287.9916317991632,850.7216494845361,239,291,697.9881672329533,463.18742779797384,0.3070002475,-0.009237455821366303,-0.009237455821366303,1.0092374558213664
4,4000000,431.77966101694915,662.0879120879121,236,364,695.754049735835,466.9579913662024,0.05950024749999997,-0.006156477428198461,-0.006156477428198461,1.0061564774281984
5,5000000,373.04659498207883,465.01138952164007,279,439,698.8314076894178,454.64229317886407,0.01,-0.007414964024073941,-0.007414964024073941,1.007414964024074
6,6000000,478.8659793814433,467.0892018779343,194,426,692.4305826778048,454.0031465278939,0.01,-0.005147548310218145,-0.005147548310218145,1.0051475483102181
7,7000000,271.2345679012346,458.4037558685446,162,426,754.1097931760053,447.01434005349773,0.01,-0.009596513192715718,-0.009596513192715718,1.0095965131927158
8,8000000,547.8974358974359,504.0096618357488,195,414,745.6513315327662,461.7601944147152,0.01,-0.003668395788748224,-0.003668395788748224,1.0036683957887482
9,9000000,276.0,487.37100737100735,180,407,702.9966944431168,446.4643342478147,0.01,-0.009494403208941153,-0.009494403208941153,1.0094944032089412
10,10000000,447.66497461928935,501.8932038834951,197,412,745.6359923337592,460.285100393031,0.01,-0.005816099246205467,-0.005816099246205467,1.0058160992462055
11,11000000,426.41975308641975,519.906103286385,162,426,738.6636361978384,455.1971560759225,0.01,-0.006271325379124318,-0.006271325379124318,1.0062713253791242
12,12000000,504.5833333333333,558.1435643564356,120,404,751.1384548736866,451.39691739082673,0.01,-0.004596496791630242,-0.004596496791630242,1.0045964967916303
13,13000000,577.1806167400881,528.803611738149,227,443,743.7997033920582,465.31300878813414,0.01,-0.0030409384965783275,-0.0030409384965783275,1.0030409384965784
14,14000000,678.3333333333334,553.4722222222222,210,432,734.8692877136441,461.2403917695862,0.01,-0.0008735165218186282,-0.0008735165218186282,1.0008735165218186
15,15000000,499.25,565.1363636363636,160,440,708.1042356610063,446.1884347616709,0.01,-0.004710775322694003,-0.004710775322694003,1.004710775322694
16,16000000,683.4825870646766,576.1267605633802,201,426,716.4195317444219,450.6576555079284,0.01,-0.0007631823057262841,-0.0007631823057262841,1.0007631823057264
17,17000000,564.6766169154229,570.8144796380091,201,442,707.1543212300766,439.4429167545833,0.01,-0.0033088645089003796,-0.0033088645089003796,1.0033088645089003
18,18000000,690.0420168067227,605.0930232558139,238,430,698.7996557195597,437.0226145084248,0.01,-0.0006226319315631015,-0.0006226319315631015,1.0006226319315632
19,19000000,802.1142857142858,628.4650112866817,175,443,689.614471618791,435.88399219639524,0.01,0.0017787657428879986,0.0017787657428879986,0.998221234257112
20,20000000,785.9798994974874,646.015037593985,199,399,685.7175417958433,434.130963383699,0.01,0.0014330506260496634,0.0014330506260496634,0.9985669493739503
21,21000000,816.9620253164557,693.9473684210526,158,380,673.6398447556685,428.4024058059966,0.01,0.0020969115937667267,0.0020969115937667267,0.9979030884062333
22,22000000,601.5652173913044,734.1515151515151,115,330,670.6336192414444,425.77696937689416,0.01,-0.0025184441822663074,-0.0025184441822663074,1.0025184441822663
23,23000000,901.743119266055,943.2599118942732,109,227,647.6373009462701,423.13713315007857,0.01,0.003913535133492788,0.003913535133492788,0.9960864648665072
24,24000000,953.2758620689655,1026.3687150837989,58,179,647.9184598649565,420.2622124608307,0.01,0.0050177387864683955,0.0050177387864683955,0.9949822612135316
25,25000000,1534.0350877192982,1054.9704142011835,57,169,630.3760638350801,418.4430283411726,0.01,0.01746179713816485,0.01746179713816485,0.9825382028618351
26,26000000,1187.7142857142858,1157.6223776223776,35,143,634.0764880820492,418.58978514400764,0.01,0.01004110353879797,0.01004110353879797,0.989958896461202
27,27000000,1529.1803278688524,1054.319526627219,61,169,626.2533543755419,413.69339573855723,0.01,0.017357773108594297,0.017357773108594297,0.9826422268914057
28,28000000,796.2745098039215,1173.092105263158,51,152,629.49827274209,407.4693507366567,0.01,0.0016536355529921303,0.0016536355529921303,0.9983463644470079
